ICAO  Decription            FRQ      Phone no.          Name
EBCV  BRUSSELS DEP          126.620  0169666786126620  Chievres AB         
EBCV  TWR                   136.500  0169666786136500  Chievres AB         
EBCV  TWR                   122.100  0169666786122100  Chievres AB         
EBFS  APP                   122.500  0169667083122500  Florennes           
EBFS  TWR                   122.100  0169667083122100  Florennes           
EBFS  GCA                   123.300  0169667083123300  Florennes           
EBGB  Brussels Departure    126.620  0169667166126620  Grimbergen          
EBGB  Brussels Volmet       127.800  0169667166127800  Grimbergen          
EBGB  Grimbergen Radio      119.500  0169667166119500  Grimbergen          
EBHN  Hoevenen Radio        135.000  0169667278135000  Hoevenen            
EBHN  Brussels Info         126.900  0169667278126900  Hoevenen            
EBKH  Balen Radio (gliders)  123.500  0169667572123500  Balen Keiheuvel     
EBKH  Kleine Brogel Approach  122.500  0169667572122500  Balen Keiheuvel     
EBKH  Balen Radio           119.200  0169667572119200  Balen Keiheuvel     
EBKH  Kleine Brogel Tower   122.100  0169667572122100  Balen Keiheuvel     
EBKH  Brussels Radio        129.320  0169667572129320  Balen Keiheuvel     
EBLG  CLNC DEL              121.800  0169667671121800  Liege               
EBLG  GND                   121.920  0169667671121920  Liege               
EBLG  APP                   122.500  0169667671122500  Liege               
EBLG  TWR                   130.620  0169667671130620  Liege               
EBLG  ATIS                  126.250  0169667671126250  Liege               
EBNM  Charleroi Tower       121.300  0169667877121300  Namur Suarlee       
EBNM  Brussels Radio        126.900  0169667877126900  Namur Suarlee       
EBNM  Charleroi Approach    133.120  0169667877133120  Namur Suarlee       
EBOS  TWR                   118.170  0169667983118170  Oostende            
EBOS  APP                   120.600  0169667983120600  Oostende            
EBOS  GND                   121.900  0169667983121900  Oostende            
EBPP  KayBee Approach       122.500  0169668080122500  Pampa Gunnery Range 
EBPP  KayBee Tower          122.100  0169668080122100  Pampa Gunnery Range 
EBSH  St Hubert Radio       123.500  0169668372123500  St Hubert (civ)     
EBSH  Brussels Radio        125.890  0169668372125890  St Hubert (civ)     
EBSH  St Hubert Radio       118.870  0169668372118870  St Hubert (civ)     
EBZH  Brussels Approach     122.500  0169669072122500  Hasselt Zonhoven    
EBZH  Hasselt Radio         118.320  0169669072118320  Hasselt Zonhoven    
EDAC  MUNCHEN RADAR         126.170  0169686567126170  Altenburg Nobitz    
EDAC  MUNCHEN RADAR         132.300  0169686567132300  Altenburg Nobitz    
EDAC  TWR                   123.570  0169686567123570  Altenburg Nobitz    
EDAH  TWR                   119.700  0169686572119700  Heringsdorf         
EDAH  TWR                   132.820  0169686572132820  Heringsdorf         
EDAH  BERLIN INFO           132.650  0169686572132650  Heringsdorf         
EDAH  BERLIN INFO           126.350  0169686572126350  Heringsdorf         
EDAV  BERLIN INFO           132.650  0169686586132650  Finow               
EDAV  BERLIN INFO           126.350  0169686586126350  Finow               
EDAY  BERLIN INFO           132.650  0169686589132650  Strausberg          
EDAZ  BERLIN INFO           132.650  0169686590132650  Schonhagen          
EDBM  BERLIN RADAR          124.170  0169686677124170  Magdeburg           
EDBM  BERLIN INFO           132.650  0169686677132650  Magdeburg           
EDBW  BERLIN INFO           132.650  0169686687132650  Werneuchen          
EDBW  BERLIN INFO           126.350  0169686687126350  Werneuchen          
EDDB  BERLIN DEP            120.620  0169686866120620  Berlin Schoenefeld  
EDDB  ATIS                  124.950  0169686866124950  Berlin Schoenefeld  
EDDB  TWR                   120.020  0169686866120020  Berlin Schoenefeld  
EDDB  BERLIN DIRECTOR       121.120  0169686866121120  Berlin Schoenefeld  
EDDB  TWR                   127.870  0169686866127870  Berlin Schoenefeld  
EDDB  GND                   121.600  0169686866121600  Berlin Schoenefeld  
EDDB  BERLIN ARR            126.420  0169686866126420  Berlin Schoenefeld  
EDDB  GND                   121.800  0169686866121800  Berlin Schoenefeld  
EDDB  BERLIN DIRECTOR       136.100  0169686866136100  Berlin Schoenefeld  
EDDB  BERLIN DEP            119.500  0169686866119500  Berlin Schoenefeld  
EDDB  BERLIN INFO           132.650  0169686866132650  Berlin Schoenefeld  
EDDB  BERLIN ARR            119.620  0169686866119620  Berlin Schoenefeld  
EDDC  MUNCHEN INFO          125.800  0169686867125800  Dresden             
EDDC  TWR                   122.920  0169686867122920  Dresden             
EDDC  TWR                   119.700  0169686867119700  Dresden             
