File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
 19N  MC GUIRE APP/DEP      124.150  0132495778124150  CAMDEN CO           
 19S  CTAF/UNICOM           122.800  0132495783122800  SUBLETTE FLYING CLUB
 1A0  CTAF/UNICOM           123.000  0132496548123000  DALLAS BAY SKY PARK 
 1A3  CTAF                  122.900  0132496551122900  MARTIN CAMPBELL FIELD
 1A5  AWOS 3                118.225  0132496553118225  Macon County        
 1A5  CTAF/UNICOM           123.050  0132496553123050  Macon County        
 1A6  CTAF/UNICOM           122.800  0132496554122800  MIDDLESBORO BELL CO 
 1A6  AWOS 3                119.425  0132496554119425  MIDDLESBORO BELL CO 
 1A7  CTAF                  122.900  0132496555122900  JACKSON COUNTY      
 1A9  CTAF/UNICOM           122.800  0132496557122800  PRATTVILLE GROUBY FLD
 1A9  MONTGOMERY APP/DEP    121.200  0132496557121200  PRATTVILLE GROUBY FLD
1AZ0  UNICOM                122.725  0149659048122725  MOBILE              
 1B0  CTAF/UNICOM           122.800  0132496648122800  DEXTER RGNL         
 1B0  BANGOR APP/DEP        118.925  0132496648118925  DEXTER RGNL         
 1B1  CTAF/UNICOM           122.800  0132496649122800  COLUMBIA CO         
 1B1  AWOS 3                133.525  0132496649133525  COLUMBIA CO         
 1B1  ALBANY APP/DEP        125.000  0132496649125000  COLUMBIA CO         
 1B2  CTAF/UNICOM           122.800  0132496650122800  KATAMA AIRPARK      
 1B6  CTAF/Unicom           122.800  0132496654122800  Hopedale Industrial Park
 1B6  BRADLEY APP/DEP       119.000  0132496654119000  Hopedale Industrial Park
 1B9  CTAF/UNICOM           123.000  0132496657123000  MANSFIELD MUNI      
 1B9  BOSTON APP/DEP        124.100  0132496657124100  MANSFIELD MUNI      
 1C1  CTAF/UNICOM           122.800  0132496749122800  PAXTON              
 1C1  CHAMPAIGN APP/DEP     121.350  0132496749121350  PAXTON              
 1C2  CTAF/UNICOM           123.000  0132496750123000  Howell New Lenox    
 1C5  CHICAGO APP/DEP       119.350  0132496753119350  BOLINGBROOKS CLOW INTL
 1C5  CTAF                  122.900  0132496753122900  BOLINGBROOKS CLOW INTL
1CA1  CTAF                  122.900  0149676549122900  BELRIDGE STRIP      
1CD2  DENVER APP            119.300  0149676850119300  TONGA AIRPORT       
 1D1  CTAF/UNICOM           122.800  0132496849122800  MILBANK MUNI        
 1D3  CTAF/UNICOM           122.800  0132496851122800  PLATTE MUNI         
 1D7  CTAF                  122.900  0132496855122900  THE SIGURD ANDERSON 
 1D8  CTAF/UNICOM           122.800  0132496856122800  REDFIELD MUNI       
 1F0  CTAF/UNICOM           122.700  0132497048122700  ARDMORE DOWNTOWN EXECUTIVE
 1F0  AWOS 3                118.150  0132497048118150  ARDMORE DOWNTOWN EXECUTIVE
 1F4  CTAF                  122.900  0132497052122900  MADILL MUNI         
 1F5  CTAF                  122.900  0132497053122900  HOXIE SHERIDAN CO   
 1G0  CTAF/UNICOM           122.800  0132497148122800  WOOD CO             
 1G0  TOLEDO APP/DEP        126.100  0132497148126100  WOOD CO             
 1G0  AWOS 3                120.725  0132497148120725  WOOD CO             
 1G0  CLNC DEL              125.600  0132497148125600  WOOD CO             
 1G1  CTAF/UNICOM           122.800  0132497149122800  ELYRIA              
 1G1  CLEVELAND CLNC DEL    125.700  0132497149125700  ELYRIA              
 1G1  CLEVELAND APP/DEP     126.350  0132497149126350  ELYRIA              
 1G3  CTAF/UNICOM           122.725  0132497151122725  KENT STATE UNIVERSITY
 1G3  CLNC DEL              125.650  0132497151125650  KENT STATE UNIVERSITY
 1G3  AKRON CANTON APP/DEP  118.600  0132497151118600  KENT STATE UNIVERSITY
 1G4  CTAF                  122.900  0132497152122900  GRAND CANYON WEST   
 1G5  CTAF/UNICOM           123.000  0132497153123000  MEDINA MUNI         
 1G5  CLEVELAND APP/DEP     125.350  0132497153125350  MEDINA MUNI         
1GA0  UNICOM                123.000  0149716548123000  EAGLE NECK          
 1H0  CTAF/UNICOM           122.800  0132497248122800  Creve Coeur         
 1H0  ST LOUIS APP/DEP      126.500  0132497248126500  Creve Coeur         
 1H2  CTAF/UNICOM           122.800  0132497250122800  EFFINGHAM CO MEM    
 1H2  AWOS 3                118.375  0132497250118375  EFFINGHAM CO MEM    
 1H5  CTAF                  122.900  0132497253122900  WILLOW SPRINGS MEMORIAL
 1H8  CTAF/UNICOM           122.800  0132497256122800  CASEY MUNI          
 1H8  HULMAN APP/DEP        125.450  0132497256125450  CASEY MUNI          
 1I5  CTAF                  122.850  0132497353122850  FREEHOLD            
 1I7  CTAF/UNICOM           122.800  0132497355122800  CLINTON             
 1J0  CTAF/UNICOM           122.800  0132497448122800  TRI CO              
 1J0  CAIRNS APP/DEP        133.750  0132497448133750  TRI CO              
 1J6  CTAF/UNICOM           122.800  0132497454122800  BOB LEE FLIGHT STRIP
